document_family,family_type,reviewed_documents,member_documents,distinct_archives,distinct_reviewers,models_represented,modernised_tokens,included_annotations,included_assignments,pooled_annotations_per_1000_tokens,minimum_document_annotation_rate,median_document_annotation_rate,maximum_document_annotation_rate,flagged_documents,model_1,model_1_documents,model_2,model_2_documents
BnF_110_29,singleton,1,BnF_110_29,1,1,1,100,10,12,100.0,100.0,100.0,100.0,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_267_15,singleton,1,BnF_267_15,1,1,1,232,23,23,99.13793103448276,99.13793103448276,99.13793103448276,99.13793103448276,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_030_20,singleton,1,BnF_030_20,1,1,1,71,7,7,98.59154929577464,98.59154929577464,98.59154929577464,98.59154929577464,0,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
BnF_030_21,singleton,1,BnF_030_21,1,1,1,453,44,53,97.13024282560706,97.13024282560706,97.13024282560706,97.13024282560706,0,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
AGI_CONTRATACION_1089_N8_176,singleton,1,AGI_CONTRATACION_1089_N8_176,1,1,1,206,20,24,97.08737864077669,97.08737864077668,97.08737864077668,97.08737864077668,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_075_014,singleton,1,BnF_075_014,1,1,1,383,37,41,96.60574412532637,96.60574412532635,96.60574412532635,96.60574412532635,0,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
BnF_032_39,singleton,1,BnF_032_39,1,1,1,242,23,35,95.0413223140496,95.0413223140496,95.0413223140496,95.0413223140496,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AGN_Indios_v002_exp835,singleton,1,AGN_Indios_v002_exp835,1,1,1,414,38,42,91.78743961352657,91.78743961352656,91.78743961352656,91.78743961352656,0,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
AGN_Indios_v009_exp002_fs3v-4_01,singleton,1,AGN_Indios_v009_exp002_fs3v-4_01,1,1,1,252,23,27,91.26984126984127,91.26984126984128,91.26984126984128,91.26984126984128,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AGI_GUADALAJARA_230_L2_F_45V-46V_2,singleton,1,AGI_GUADALAJARA_230_L2_F_45V-46V_2,1,1,1,122,11,11,90.16393442622952,90.16393442622952,90.16393442622952,90.16393442622952,0,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
AGN_AHHacienda_v268_exp046_02,singleton,1,AGN_AHHacienda_v268_exp046_02,1,1,1,245,22,29,89.79591836734693,89.79591836734693,89.79591836734693,89.79591836734693,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_104_3,singleton,1,BnF_104_3,1,1,1,245,22,25,89.79591836734693,89.79591836734693,89.79591836734693,89.79591836734693,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AGI_GUADALAJARA_230_L2_F_45V-46V_1,singleton,1,AGI_GUADALAJARA_230_L2_F_45V-46V_1,1,1,1,223,20,23,89.68609865470852,89.68609865470852,89.68609865470852,89.68609865470852,0,GPT OSS 120B · 8 000 TPM,1,Llama 3.3 70B · 12 000 TPM,0
BnF_119-148_18,singleton,1,BnF_119-148_18,1,1,1,158,14,16,88.60759493670886,88.60759493670886,88.60759493670886,88.60759493670886,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_119-148_33,singleton,1,BnF_119-148_33,1,1,1,558,47,48,84.2293906810036,84.2293906810036,84.2293906810036,84.2293906810036,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_117_03,singleton,1,BnF_117_03,1,1,1,287,23,26,80.13937282229965,80.13937282229965,80.13937282229965,80.13937282229965,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_244_04,singleton,1,BnF_244_04,1,1,1,291,23,23,79.03780068728523,79.03780068728523,79.03780068728523,79.03780068728523,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_264_03,singleton,1,BnF_264_03,1,1,1,955,74,79,77.4869109947644,77.4869109947644,77.4869109947644,77.4869109947644,1,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_110_33,singleton,1,BnF_110_33,1,1,1,131,10,10,76.33587786259542,76.33587786259542,76.33587786259542,76.33587786259542,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AGN_Tierras_v039-2_exp003_41,singleton,1,AGN_Tierras_v039-2_exp003_41,1,1,1,184,14,15,76.08695652173914,76.08695652173914,76.08695652173914,76.08695652173914,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
utblac_eog_j_04,singleton,1,utblac_eog_j_04_duplicated_02,1,1,1,57,4,5,70.17543859649122,70.17543859649122,70.17543859649122,70.17543859649122,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_118_05,singleton,1,BnF_118_05,1,1,1,245,17,18,69.38775510204081,69.38775510204081,69.38775510204081,69.38775510204081,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_394_05,singleton,1,BnF_394_05,1,1,1,29,2,2,68.9655172413793,68.9655172413793,68.9655172413793,68.9655172413793,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AGS_CE_RG_L379_02,singleton,1,AGS_CE_RG_L379_02,1,1,1,190,13,14,68.42105263157895,68.42105263157895,68.42105263157895,68.42105263157895,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AGN_HospJesus_c474_leg267-2_exp024_7473-7537_05,singleton,1,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_05,1,1,1,307,21,24,68.40390879478828,68.40390879478828,68.40390879478828,68.40390879478828,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AGI_INDIFERENTE_1529_N8_06,singleton,1,AGI_INDIFERENTE_1529_N8_06,1,1,1,421,28,31,66.5083135391924,66.5083135391924,66.5083135391924,66.5083135391924,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AGS_CE_RG_L379_04,singleton,1,AGS_CE_RG_L379_04,1,1,1,181,12,13,66.29834254143645,66.29834254143645,66.29834254143645,66.29834254143645,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02,singleton,1,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02,1,1,1,317,21,24,66.24605678233439,66.24605678233439,66.24605678233439,66.24605678233439,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AGN_Marina_v031A_exp02_fs85-92_15,singleton,1,AGN_Marina_v031A_exp02_fs85-92_15,1,1,1,31,2,2,64.51612903225806,64.51612903225806,64.51612903225806,64.51612903225806,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_116_07,singleton,1,BnF_116_07,1,1,1,217,14,14,64.51612903225806,64.51612903225806,64.51612903225806,64.51612903225806,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
utblac_JGI_XXIII-13_Atlatlauhca_03,singleton,1,utblac_JGI_XXIII-13_Atlatlauhca_03,1,1,1,63,4,4,63.49206349206349,63.49206349206349,63.49206349206349,63.49206349206349,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_264_02,singleton,1,BnF_264_02,1,1,1,445,28,28,62.921348314606746,62.921348314606746,62.921348314606746,62.921348314606746,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AMP_AC_v021__doc026_2,singleton,1,AMP_AC_v021__doc026_2,1,1,1,112,7,7,62.5,62.5,62.5,62.5,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
Mechoacan_Yurirapundaro_1,singleton,1,Mechoacan_Yurirapundaro_1,1,1,1,321,20,20,62.30529595015577,62.30529595015577,62.30529595015577,62.30529595015577,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
utblac_wbs_0912a_duplicated,singleton,1,utblac_wbs_0912a_duplicated,1,1,1,358,22,23,61.452513966480446,61.452513966480446,61.452513966480446,61.452513966480446,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BP_CM_R481_071_2,singleton,1,BP_CM_R481_071_2,1,1,1,301,18,22,59.800664451827245,59.800664451827245,59.800664451827245,59.800664451827245,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
AGI_INDIFERENTE_2065_N45_11,singleton,1,AGI_INDIFERENTE_2065_N45_11,1,1,1,169,10,11,59.171597633136095,59.171597633136095,59.171597633136095,59.171597633136095,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
BnF_110_13,singleton,1,BnF_110_13,1,1,1,289,17,17,58.8235294117647,58.8235294117647,58.8235294117647,58.8235294117647,0,GPT OSS 120B · 8 000 TPM,0,Llama 3.3 70B · 12 000 TPM,1
