pattern_rank,model,error_category,subrule,normalised_annotated_text,distinct_annotations,affected_documents,affected_reviewers,affected_archives,annotations_per_1000_model_tokens,prompt_candidate,example_surface_forms,example_documents,reviewers,archives
57,Llama 3.3 70B · 12 000 TPM,Cambios,Sustitución,hecho,3,3,3,3,0.07057661091114405,True,hecho,BnF_112_08 | BnF_394_10 | Mechoacan_Yurirapundaro_2,Arturo | Flor | Paloma,bnf_112 | bnf_394 | mechoacan_yurirapundaro
58,Llama 3.3 70B · 12 000 TPM,Cambios,Sustitución,para,6,3,3,2,0.1411532218222881,True,para,BP_CM_R481_071_2 | BnF_266_03 | BnF_266_10,Adriana | Flor | Rodrigo,bnf_266 | bp_cm
59,GPT OSS 120B · 8 000 TPM,Filológicas - instrucciones,Regularización de H etimológica,aver,4,3,3,2,0.34328870580157916,True,aver,BnF_111_20 | BnF_112_02 | BnF_112_23,Arturo | Edna | Flor,bnf_111 | bnf_112
60,GPT OSS 120B · 8 000 TPM,Filológicas - instrucciones,Regularización de labiales (b/v),aver,4,3,3,2,0.34328870580157916,True,aver,BnF_111_20 | BnF_112_02 | BnF_112_23,Arturo | Edna | Flor,bnf_111 | bnf_112
61,GPT OSS 120B · 8 000 TPM,Cambios,Sustitución,do,14,3,2,3,1.201510470305527,True,do,AGN_Tierras_v039-2_exp003_72 | BnF_030_21 | BnF_104_2,Edna | Paco,agn_tierras | bnf_030 | bnf_104
62,GPT OSS 120B · 8 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",deste,7,3,2,3,0.6007552351527635,True,deste,AGI_PATRONATO_182_R3_01 | BnF_032_36 | BnF_104_2,Alba | Paco,agi_patronato | bnf_032 | bnf_104
63,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,franco,7,3,2,3,0.16467875879266947,True,Franco,AGN_HospJesus_c205_exp041_04 | BnF_113_43 | BnF_174_04,Flor | Paloma,agn_hospjesus | bnf_113 | bnf_174
64,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,justa,6,3,2,3,0.5149330587023687,True,justa,BnF_111_20 | BnF_112_25 | BnF_116_02,Flor | Paco,bnf_111 | bnf_112 | bnf_116
65,Llama 3.3 70B · 12 000 TPM,Filológicas - instrucciones,Regularización de labiales (b/v),escrivano,6,3,2,3,0.1411532218222881,True,escrivano,AGN_AHHacienda_v268_exp046_03 | BnF_075_003 | BnF_116_07,Adriana | Arturo,agn_ahhacienda | bnf_075 | bnf_116
66,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,pa,5,3,2,3,0.4291108822519739,True,pa,AGN_Indios_v019_exp354_2 | AGN_Mercedes_v003_exp520 | BnF_032_36,Alba | Paco,agn_indios | agn_mercedes | bnf_032
67,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,dos,4,3,2,3,0.34328870580157916,True,dos,BnF_075_014 | BnF_104_2 | BnF_112_25,Alba | Paco,bnf_075 | bnf_104 | bnf_112
68,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,esta,4,3,2,3,0.34328870580157916,True,esta,AGI_PATRONATO_182_R3_04 | AGN_GralParte_v006_exp617_01 | BNE_ms3047_1,Paco | Rodrigo,agi_patronato | agn_gralparte | bne_ms3047
69,GPT OSS 120B · 8 000 TPM,Abreviaturas,No sub-rule assigned,mexco,4,3,2,3,0.34328870580157916,True,Mexco | mexco,AGN_Indios_v019_exp354_2 | AGN_RealesCedDup_v030_exp874 | BnF_112_23,Alba | Edna,agn_indios | agn_realesceddup | bnf_112
70,Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",de ellas,4,3,2,3,0.0941021478815254,True,de ellas,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10 | BnF_112_08 | BnF_118_08,Arturo | Paloma,agn_hospjesus | bnf_112 | bnf_118
71,Llama 3.3 70B · 12 000 TPM,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",della,4,3,2,3,0.0941021478815254,True,della,AMP_AC_v021__doc026_2 | BNE_ms3047_3 | BnF_111_27,Alba | Javier,amp_ac | bne_ms3047 | bnf_111
72,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,mo,3,3,2,3,0.25746652935118436,True,Mo | mo,AGI_CONTRATACION_1091_N3_098 | AGN_AHHacienda_v1292_exp135 | BNE_ms3047_1,Javier | Rodrigo,agi_contratacion | agn_ahhacienda | bne_ms3047
73,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,nro,3,3,2,3,0.25746652935118436,True,nro,BnF_112_04 | BnF_113_04 | BnF_116_02,Paco | Paloma,bnf_112 | bnf_113 | bnf_116
74,Llama 3.3 70B · 12 000 TPM,Acentuación,No sub-rule assigned,como,3,3,2,3,0.07057661091114405,True,como,BnF_110_09 | BnF_174_03 | UIA_Ms149_Exp2_51,Alba | Arturo,bnf_110 | bnf_174 | uia_ms149
75,Llama 3.3 70B · 12 000 TPM,Cambios,Inserción,los,3,3,2,3,0.07057661091114405,True,los,BnF_032_23 | BnF_117_15 | UIA_Ms149_Exp2_51,Arturo | Flor,bnf_032 | bnf_117 | uia_ms149
76,Llama 3.3 70B · 12 000 TPM,Cambios,Sustitución,que,3,3,2,3,0.07057661091114405,True,que,BnF_030_22 | BnF_111_21 | utblac_gg_mss_g62_duplicated_09,Flor | Paco,bnf_030 | bnf_111 | utblac_gg
77,Llama 3.3 70B · 12 000 TPM,Cambios,No sub-rule assigned,y,43,3,2,2,1.011598089726398,True,y,BnF_032_33 | BnF_075_003 | BnF_075_026,Adriana | Arturo,bnf_032 | bnf_075
78,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,sor,9,3,2,2,0.772399588053553,True,Sor | sor,AGN_RealesCedDup_v030_exp874 | AGN_RealesCedDup_v050_exp062 | BnF_112_04,Alba | Paloma,agn_realesceddup | bnf_112
79,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,pos,16,2,2,2,1.3731548232063167,True,pos,AGN_AHHacienda_v1292_exp135 | BNE_ms3047_1,Javier | Rodrigo,agn_ahhacienda | bne_ms3047
80,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,del,9,2,2,2,0.772399588053553,True,del,BnF_075_014 | BnF_112_25,Alba | Paco,bnf_075 | bnf_112
81,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,to,8,2,2,2,0.6865774116031583,True,To | to,AGN_AHHacienda_v1292_exp135 | BnF_111_20,Flor | Javier,agn_ahhacienda | bnf_111
82,GPT OSS 120B · 8 000 TPM,Abreviaturas,No sub-rule assigned,puo,8,2,2,2,0.6865774116031583,True,puo,AGN_Mercedes_v003_exp520 | BnF_113_22,Alba | Paloma,agn_mercedes | bnf_113
83,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,dn,7,2,2,2,0.16467875879266947,True,Dn,BnF_243_17 | BnF_244_02,Alba | Edna,bnf_243 | bnf_244
84,Llama 3.3 70B · 12 000 TPM,Cambios,Inserción,y,7,2,2,2,0.16467875879266947,True,y,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_05 | BnF_266_10,Flor | Rodrigo,agn_hospjesus | bnf_266
85,GPT OSS 120B · 8 000 TPM,Filológicas - instrucciones,Regularización de la nasal palatal,anos,6,2,2,2,0.5149330587023687,True,anos,AGI_CONTRATACION_1183_N8_78 | BnF_113_22,Adriana | Paloma,agi_contratacion | bnf_113
86,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,p.,6,2,2,2,0.1411532218222881,True,P.,BnF_244_04 | BnF_264_03,Adriana | Edna,bnf_244 | bnf_264
87,Llama 3.3 70B · 12 000 TPM,Cambios,Deleción,del,6,2,2,2,0.1411532218222881,True,del,AGI_INDIFERENTE_1529_N36_07 | BnF_174_04,Paloma | Rodrigo,agi_indiferente | bnf_174
88,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,ao,5,2,2,2,0.4291108822519739,True,ao,AGN_AHHacienda_v268_exp046_01 | BnF_032_36,Adriana | Paco,agn_ahhacienda | bnf_032
89,GPT OSS 120B · 8 000 TPM,Abreviaturas,Expansión completa,rl,5,2,2,2,0.4291108822519739,True,RL | Rl,AGN_AHHacienda_v268_exp046_01 | AGN_Indios_v019_exp354_2,Adriana | Alba,agn_ahhacienda | agn_indios
