pattern_rank,model,error_category,subrule,normalised_annotated_text,distinct_annotations,affected_documents,affected_reviewers,affected_archives,annotations_per_1000_model_tokens,prompt_candidate,example_surface_forms,example_documents,reviewers,archives
1715,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,dor.,1,1,1,1,0.02352553697038135,False,dor.,BnF_117_03,Arturo,bnf_117
1716,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,dro,1,1,1,1,0.02352553697038135,False,dro,AGN_Inquisicion_v1568A_exp152_fs115-116v_03,Javier,agn_inquisicion
1717,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,dros,1,1,1,1,0.02352553697038135,False,dros,AGI_CONTRATACION_1089_N8_151,Paco,agi_contratacion
1718,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,e,1,1,1,1,0.02352553697038135,False,E,AGN_Inquisicion_v1568A_exp152_fs115-116v_03,Javier,agn_inquisicion
1719,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,e parto,1,1,1,1,0.02352553697038135,False,e parto,AGN_GralParte_v006_exp617_02,Rodrigo,agn_gralparte
1720,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,enmdo,1,1,1,1,0.02352553697038135,False,Enmdo,AGN_Inquisicion_v1568A_exp152_fs115-116v_03,Javier,agn_inquisicion
1721,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,escribano,1,1,1,1,0.02352553697038135,False,escribano,BP_CM_R481_016,Arturo,bp_cm
1722,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,esn.,1,1,1,1,0.02352553697038135,False,Esn.,BnF_174_03,Arturo,bnf_174
1723,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,esno,1,1,1,1,0.02352553697038135,False,esno,BnF_032_23,Arturo,bnf_032
1724,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,especialmte,1,1,1,1,0.02352553697038135,False,especialmte,BnF_104_3,Alba,bnf_104
1725,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,esptos,1,1,1,1,0.02352553697038135,False,esptos,BnF_104_3,Alba,bnf_104
1726,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,espturas,1,1,1,1,0.02352553697038135,False,espturas,BnF_104_3,Alba,bnf_104
1727,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,estandartes,1,1,1,1,0.02352553697038135,False,estandartes,BnF_266_05,Adriana,bnf_266
1728,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,este,1,1,1,1,0.02352553697038135,False,este,BnF_075_035,Arturo,bnf_075
1729,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,esto,1,1,1,1,0.02352553697038135,False,esto,utblac_gg_mss_g62_duplicated_15,Paco,utblac_gg
1730,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,"esto,",1,1,1,1,0.02352553697038135,False,"esto,",BnF_075_026,Arturo,bnf_075
1731,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,está,1,1,1,1,0.02352553697038135,False,está,utblac_gg_mss_g62_duplicated_15,Paco,utblac_gg
1732,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,etc.,1,1,1,1,0.02352553697038135,False,etc.,BnF_174_03,Arturo,bnf_174
1733,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,etra,1,1,1,1,0.02352553697038135,False,etra,AGN_GralParte_v006_exp617_02,Rodrigo,agn_gralparte
1734,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,exa,1,1,1,1,0.02352553697038135,False,Exa,UIA_Ms149_Exp3_04,Alba,uia_ms149
1735,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,exmo,1,1,1,1,0.02352553697038135,False,Exmo,AGN_Inquisicion_v1568A_exp152_fs115-116v_03,Javier,agn_inquisicion
1736,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,expoual,1,1,1,1,0.02352553697038135,False,Expoual,UIA_Ms149_Exp2_51,Arturo,uia_ms149
1737,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,fechada,1,1,1,1,0.02352553697038135,False,fechada,BnF_119-148_24,Adriana,bnf_119-148
1738,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,fo,1,1,1,1,0.02352553697038135,False,fo,AGN_Inquisicion_v1568A_exp152_fs115-116v_04,Paloma,agn_inquisicion
1739,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,fos,1,1,1,1,0.02352553697038135,False,fos,BnF_118_02,Rodrigo,bnf_118
1740,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,fue,1,1,1,1,0.02352553697038135,False,fue,AGN_AHHacienda_v268_exp046_02,Paloma,agn_ahhacienda
1741,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,"gentes, de",1,1,1,1,0.02352553697038135,False,"gentes, de",BnF_264_03,Adriana,bnf_264
1742,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,germo,1,1,1,1,0.02352553697038135,False,Germo,UIA_Ms149_Exp2_51,Arturo,uia_ms149
1743,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,gral,1,1,1,1,0.02352553697038135,False,Gral,BnF_174_02,Javier,bnf_174
1744,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,gral.,1,1,1,1,0.02352553697038135,False,Gral.,BnF_174_03,Arturo,bnf_174
1745,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,herdo,1,1,1,1,0.02352553697038135,False,Herdo,BnF_075_003,Adriana,bnf_075
1746,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,hista,1,1,1,1,0.02352553697038135,False,hista,BnF_264_03,Adriana,bnf_264
1747,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,home,1,1,1,1,0.02352553697038135,False,home,BnF_264_03,Adriana,bnf_264
1748,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,hres,1,1,1,1,0.02352553697038135,False,Hres,AGN_GralParte_v006_exp617_02,Rodrigo,agn_gralparte
1749,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,juez,1,1,1,1,0.02352553697038135,False,juez,utblac_gg_mss_g62_duplicated_11,Alba,utblac_gg
1750,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,justas,1,1,1,1,0.02352553697038135,False,justas,LoC_HPKraus_146_new_13,Paco,loc_hpkraus
1751,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,juzgo,1,1,1,1,0.02352553697038135,False,juzgo,BP_CM_R481_071_2,Adriana,bp_cm
1752,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,los,1,1,1,1,0.02352553697038135,False,los,AMP_AC_v021__doc026_2,Alba,amp_ac
1753,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,m.,1,1,1,1,0.02352553697038135,False,M.,BnF_264_03,Adriana,bnf_264
1754,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,m. r. p.,1,1,1,1,0.02352553697038135,False,M. R. P.,BnF_167_29,Adriana,bnf_167
1755,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,magd.,1,1,1,1,0.02352553697038135,False,Magd.,BnF_174_03,Arturo,bnf_174
1756,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,magistratura,1,1,1,1,0.02352553697038135,False,magistratura,Mechoacan_Yurirapundaro_1,Adriana,mechoacan_yurirapundaro
1757,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,mandando,1,1,1,1,0.02352553697038135,False,mandando,BnF_110_13,Adriana,bnf_110
1758,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,marín,1,1,1,1,0.02352553697038135,False,Marín,AGN_Marina_v031A_exp02_fs85-92_11,Adriana,agn_marina
1759,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,me,1,1,1,1,0.02352553697038135,False,me,AGI_CONTRATACION_1089_N8_151,Paco,agi_contratacion
1760,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,mercedes,1,1,1,1,0.02352553697038135,False,Mercedes,BP_CM_R481_071_3,Javier,bp_cm
1761,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,merito,1,1,1,1,0.02352553697038135,False,merito,UIA_Ms149_Exp3_43,Paco,uia_ms149
1762,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,mil setecientos,1,1,1,1,0.02352553697038135,False,mil setecientos,UIA_Ms149_Exp2_51,Arturo,uia_ms149
1763,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,mo,1,1,1,1,0.02352553697038135,False,mo,BnF_111_22,Paloma,bnf_111
1764,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,más,1,1,1,1,0.02352553697038135,False,más,BP_CM_R481_016,Arturo,bp_cm
1765,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,más se declara,1,1,1,1,0.02352553697038135,False,más se declara,AGN_IndiferenteVirreinal_caja4071_exp024_1,Rodrigo,agn_indiferentevirreinal
1766,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,nats,1,1,1,1,0.02352553697038135,False,nats,BnF_118_02,Rodrigo,bnf_118
1767,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,nda,1,1,1,1,0.02352553697038135,False,nda,AGI_CONTRATACION_1089_N8_151,Paco,agi_contratacion
1768,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,omiso,1,1,1,1,0.02352553697038135,False,omiso,BP_CM_R481_071_2,Adriana,bp_cm
1769,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,p,1,1,1,1,0.02352553697038135,False,P,BnF_174_02,Javier,bnf_174
1770,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,pasaban,1,1,1,1,0.02352553697038135,False,Pasaban,BnF_266_07,Paco,bnf_266
1771,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,pasq,1,1,1,1,0.02352553697038135,False,Pasq,BP_CM_R494_156_2,Javier,bp_cm
1772,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,pavana,1,1,1,1,0.02352553697038135,False,pavana,BnF_118_08,Arturo,bnf_118
1773,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,pda,1,1,1,1,0.02352553697038135,False,pda,AGI_CONTRATACION_1089_N8_151,Paco,agi_contratacion
1774,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,pinta,1,1,1,1,0.02352553697038135,False,pinta,BnF_264_03,Adriana,bnf_264
1775,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,"po,",1,1,1,1,0.02352553697038135,False,"po,",AGI_INDIFERENTE_1529_N36_07,Rodrigo,agi_indiferente
1776,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,po.,1,1,1,1,0.02352553697038135,False,po.,BnF_030_22,Paco,bnf_030
1777,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,pon,1,1,1,1,0.02352553697038135,False,pon,BnF_117_03,Arturo,bnf_117
1778,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,por él,1,1,1,1,0.02352553697038135,False,por él,BnF_111_22,Paloma,bnf_111
1779,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,pos es r.,1,1,1,1,0.02352553697038135,False,pos es r.,BnF_110_29,Paloma,bnf_110
1780,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,poseedor,1,1,1,1,0.02352553697038135,False,poseedor,BnF_117_13,Paco,bnf_117
1781,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,pozo,1,1,1,1,0.02352553697038135,False,Pozo,BnF_032_33,Adriana,bnf_032
1782,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,presto,1,1,1,1,0.02352553697038135,False,presto,AGN_GralParte_v006_exp617_02,Rodrigo,agn_gralparte
1783,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,pro,1,1,1,1,0.02352553697038135,False,pro,BnF_104_3,Alba,bnf_104
1784,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,prueba,1,1,1,1,0.02352553697038135,False,prueba,BnF_110_29,Paloma,bnf_110
1785,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,psión,1,1,1,1,0.02352553697038135,False,psión,BnF_032_39,Paloma,bnf_032
1786,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,qta,1,1,1,1,0.02352553697038135,False,qta,AGI_CONTRATACION_1089_N8_151,Paco,agi_contratacion
1787,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,que cuanto,1,1,1,1,0.02352553697038135,False,que cuanto,AGN_IndiferenteVirreinal_caja4071_exp024_1,Rodrigo,agn_indiferentevirreinal
1788,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,quiera,1,1,1,1,0.02352553697038135,False,quiera,BnF_174_03,Arturo,bnf_174
1789,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,quinta,1,1,1,1,0.02352553697038135,False,quinta,AGN_GralParte_v006_exp617_02,Rodrigo,agn_gralparte
1790,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,r.,1,1,1,1,0.02352553697038135,False,R.,BnF_264_03,Adriana,bnf_264
1791,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,recda.,1,1,1,1,0.02352553697038135,False,Recda.,utblac_gg_mss_g62_duplicated_03,Flor,utblac_gg
1792,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,renuncia,1,1,1,1,0.02352553697038135,False,renuncia,LoC_HPKraus_146_new_13,Paco,loc_hpkraus
1793,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,respeto,1,1,1,1,0.02352553697038135,False,Respeto,BnF_119-148_24,Adriana,bnf_119-148
1794,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,rezo,1,1,1,1,0.02352553697038135,False,rezo,BnF_112_08,Paloma,bnf_112
1795,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,rl.,1,1,1,1,0.02352553697038135,False,Rl.,BnF_174_03,Arturo,bnf_174
1796,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,ro,1,1,1,1,0.02352553697038135,False,Ro,AGN_Inquisicion_v1568A_exp152_fs115-116v_03,Javier,agn_inquisicion
1797,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,ror,1,1,1,1,0.02352553697038135,False,Ror,BnF_118_02,Rodrigo,bnf_118
1798,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,rs.,1,1,1,1,0.02352553697038135,False,Rs.,BnF_174_03,Arturo,bnf_174
1799,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,s.,1,1,1,1,0.02352553697038135,False,S.,BnF_174_03,Arturo,bnf_174
1800,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,sa.,1,1,1,1,0.02352553697038135,False,Sa.,BnF_174_03,Arturo,bnf_174
1801,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,sig,1,1,1,1,0.02352553697038135,False,sig,AGN_Inquisicion_v1568A_exp152_fs115-116v_03,Javier,agn_inquisicion
1802,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,sigte,1,1,1,1,0.02352553697038135,False,sigte,AGI_CONTRATACION_1089_N8_151,Paco,agi_contratacion
1803,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,sor.,1,1,1,1,0.02352553697038135,False,sor.,BnF_118_08,Arturo,bnf_118
1804,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,suplica,1,1,1,1,0.02352553697038135,False,suplica,BnF_110_29,Paloma,bnf_110
1805,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,tero,1,1,1,1,0.02352553697038135,False,tero,BP_CM_R494_156_2,Javier,bp_cm
1806,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,testdo,1,1,1,1,0.02352553697038135,False,testdo,AGN_Inquisicion_v1568A_exp152_fs115-116v_03,Javier,agn_inquisicion
1807,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,teutalco,1,1,1,1,0.02352553697038135,False,teutalco,BnF_267_23,Paco,bnf_267
1808,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,todos los,1,1,1,1,0.02352553697038135,False,todos los,BnF_394_07,Rodrigo,bnf_394
1809,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,tomo,1,1,1,1,0.02352553697038135,False,tomo,BnF_032_33,Adriana,bnf_032
1810,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,tomó,1,1,1,1,0.02352553697038135,False,tomó,BnF_032_33,Adriana,bnf_032
1811,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,trato,1,1,1,1,0.02352553697038135,False,trato,BnF_110_13,Adriana,bnf_110
1812,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,tributarios,1,1,1,1,0.02352553697038135,False,tributarios,Mechoacan_Yurirapundaro_1,Adriana,mechoacan_yurirapundaro
1813,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,v.e.,1,1,1,1,0.02352553697038135,False,V.E.,AGN_Congregaciones_v001_exp076,Javier,agn_congregaciones
1814,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,v.s,1,1,1,1,0.02352553697038135,False,V.S,BnF_117_14,Alba,bnf_117
1815,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,va sa,1,1,1,1,0.02352553697038135,False,Va Sa,BnF_266_03,Rodrigo,bnf_266
1816,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,villete,1,1,1,1,0.02352553697038135,False,villete,AGN_AHHacienda_v268_exp046_02,Paloma,agn_ahhacienda
1817,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,vmd.,1,1,1,1,0.02352553697038135,False,Vmd.,BnF_167_29,Adriana,bnf_167
1818,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,xico,1,1,1,1,0.02352553697038135,False,Xico,BnF_032_33,Adriana,bnf_032
1819,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,y ne,1,1,1,1,0.02352553697038135,False,y Ne,BnF_110_29,Paloma,bnf_110
1820,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,y siendo,1,1,1,1,0.02352553697038135,False,y siendo,BnF_111_22,Paloma,bnf_111
1821,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,ynsos a,1,1,1,1,0.02352553697038135,False,ynsos a,AGN_GralParte_v006_exp617_02,Rodrigo,agn_gralparte
1822,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,yztepeq,1,1,1,1,0.02352553697038135,False,Yztepeq,BnF_267_03,Paco,bnf_267
1823,Llama 3.3 70B · 12 000 TPM,Abreviaturas,Expansión completa,zoyatepec,1,1,1,1,0.02352553697038135,False,zoyatepec,BnF_267_23,Paco,bnf_267
1824,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,a v. ala.,1,1,1,1,0.02352553697038135,False,A V. ala.,BnF_110_33,Alba,bnf_110
1825,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,allí,1,1,1,1,0.02352553697038135,False,Allí,BnF_118_03,Paloma,bnf_118
1826,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,cuando,1,1,1,1,0.02352553697038135,False,cuando,BnF_111_27,Alba,bnf_111
1827,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,d.,1,1,1,1,0.02352553697038135,False,D.,BnF_244_02,Alba,bnf_244
1828,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,damto,1,1,1,1,0.02352553697038135,False,damto,BnF_111_27,Alba,bnf_111
1829,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,del,1,1,1,1,0.02352553697038135,False,del,BnF_266_07,Paco,bnf_266
1830,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,do es ro,1,1,1,1,0.02352553697038135,False,do es ro,BnF_104_3,Alba,bnf_104
1831,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,don enriquez,1,1,1,1,0.02352553697038135,False,don Enriquez,AGN_GralParte_v001_exp1020_02,Edna,agn_gralparte
1832,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,escribo,1,1,1,1,0.02352553697038135,False,escribo,AGI_INDIFERENTE_2065_N45_11,Alba,agi_indiferente
1833,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,exmo,1,1,1,1,0.02352553697038135,False,Exmo,BnF_243_17,Edna,bnf_243
1834,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,frdo,1,1,1,1,0.02352553697038135,False,Frdo,AGN_HospJesus_c205_exp041_04,Flor,agn_hospjesus
1835,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,go,1,1,1,1,0.02352553697038135,False,go,BnF_104_3,Alba,bnf_104
1836,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,ilmo.,1,1,1,1,0.02352553697038135,False,Ilmo.,AGN_HospJesus_c205_exp041_04,Flor,agn_hospjesus
1837,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,juan,1,1,1,1,0.02352553697038135,False,Juan,AGI_CONTRATACION_1089_N8_176,Flor,agi_contratacion
1838,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,juo,1,1,1,1,0.02352553697038135,False,Juo,BnF_110_33,Alba,bnf_110
1839,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,la,1,1,1,1,0.02352553697038135,False,la,BnF_117_08,Edna,bnf_117
1840,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,mandato,1,1,1,1,0.02352553697038135,False,mandato,AGN_GralParte_v001_exp1020_02,Edna,agn_gralparte
1841,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,marcos,1,1,1,1,0.02352553697038135,False,marcos,AGN_HospJesus_c205_exp041_04,Flor,agn_hospjesus
1842,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,mde,1,1,1,1,0.02352553697038135,False,mde,LoC_HPKraus_138_new_07,Edna,loc_hpkraus
1843,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,migl,1,1,1,1,0.02352553697038135,False,Migl,BnF_104_3,Alba,bnf_104
1844,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,po,1,1,1,1,0.02352553697038135,False,Po,BnF_110_33,Alba,bnf_110
1845,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,po seno. pide pón,1,1,1,1,0.02352553697038135,False,po seno. Pide pón,BnF_110_33,Alba,bnf_110
1846,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,por,1,1,1,1,0.02352553697038135,False,por,BnF_118_06,Edna,bnf_118
1847,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,preso,1,1,1,1,0.02352553697038135,False,preso,BnF_110_33,Alba,bnf_110
1848,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,pro,1,1,1,1,0.02352553697038135,False,pro,BnF_110_33,Alba,bnf_110
1849,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,que pueda,1,1,1,1,0.02352553697038135,False,que pueda,BP_CM_R481_016,Arturo,bp_cm
1850,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,que vaya,1,1,1,1,0.02352553697038135,False,que vaya,LoC_HPKraus_138_new_07,Edna,loc_hpkraus
1851,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,respde,1,1,1,1,0.02352553697038135,False,Respde,BnF_117_14,Alba,bnf_117
1852,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,ror e tos y uso esptos,1,1,1,1,0.02352553697038135,False,Ror E tos y uso esptos,BnF_104_3,Alba,bnf_104
1853,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,sor,1,1,1,1,0.02352553697038135,False,sor,BnF_118_06,Edna,bnf_118
1854,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,te,1,1,1,1,0.02352553697038135,False,te,BnF_113_25,Flor,bnf_113
1855,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,todos,1,1,1,1,0.02352553697038135,False,todos,BnF_112_08,Paloma,bnf_112
1856,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,todos los testigos,1,1,1,1,0.02352553697038135,False,todos los testigos,BnF_110_09,Alba,bnf_110
1857,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,traído dicho,1,1,1,1,0.02352553697038135,False,traído dicho,BnF_104_3,Alba,bnf_104
1858,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,trozo,1,1,1,1,0.02352553697038135,False,trozo,BnF_110_33,Alba,bnf_110
1859,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,turall,1,1,1,1,0.02352553697038135,False,turall,BnF_118_03,Paloma,bnf_118
1860,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,v.,1,1,1,1,0.02352553697038135,False,V.,BnF_118_06,Edna,bnf_118
1861,Llama 3.3 70B · 12 000 TPM,Abreviaturas,No sub-rule assigned,v. r.,1,1,1,1,0.02352553697038135,False,V. R.,BnF_174_04,Paloma,bnf_174
1862,Llama 3.3 70B · 12 000 TPM,Acentuación,No sub-rule assigned,abra,1,1,1,1,0.02352553697038135,False,abra,Mechoacan_Yurirapundaro_2,Arturo,mechoacan_yurirapundaro
1863,Llama 3.3 70B · 12 000 TPM,Acentuación,No sub-rule assigned,afirmo,1,1,1,1,0.02352553697038135,False,afirmo,BnF_113_25,Flor,bnf_113
1864,Llama 3.3 70B · 12 000 TPM,Acentuación,No sub-rule assigned,aleman,1,1,1,1,0.02352553697038135,False,Aleman,AGN_GralParte_v006_exp617_02,Rodrigo,agn_gralparte
1865,Llama 3.3 70B · 12 000 TPM,Acentuación,No sub-rule assigned,"ana caso,",1,1,1,1,0.02352553697038135,False,"Ana Caso,",BnF_243_12,Arturo,bnf_243
1866,Llama 3.3 70B · 12 000 TPM,Acentuación,No sub-rule assigned,angeles,1,1,1,1,0.02352553697038135,False,angeles,BnF_267_23,Paco,bnf_267
1867,Llama 3.3 70B · 12 000 TPM,Acentuación,No sub-rule assigned,areglando,1,1,1,1,0.02352553697038135,False,areglando,UIA_Ms149_Exp3_04,Alba,uia_ms149
1868,Llama 3.3 70B · 12 000 TPM,Acentuación,No sub-rule assigned,asi,1,1,1,1,0.02352553697038135,False,asi,BnF_244_05,Edna,bnf_244
