filename_stem,reviewer_packet,annotation_id,annotated_text,start,end,paragraph,document_id_internal,entity_position,error_code,error_category,field_code,subrule,rule_combination_valid,validation_issue,is_unique_mode,status,related_to,related_text,related_key,annotation_json_path,effective_error_code,effective_error_category,effective_field_code,effective_subrule,effective_rule_combination_valid,include_in_analysis,resolution_action,resolution_source,review_note,human_decision,corrected_error_code,corrected_field_code,invalid_combination_policy
AGN_AHHacienda_v1292_exp135,1,1263,pos,522,525,s1p4,21,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
AGN_AHHacienda_v1292_exp135,1,1267,to,135,137,s1p4,21,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
AGN_AHHacienda_v1292_exp135,1,1268,to,529,531,s1p4,21,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
AGN_AHHacienda_v1292_exp135,1,1278,exor,268,272,s1p4,21,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
AGN_AHHacienda_v1292_exp135,1,1282,el,279,281,s1p4,21,1,e_6,Cambios,f_6663,Sustitución,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.ann.json,e_6,Cambios,f_6663,Sustitución,True,True,valid,automatic_validation,,,,,exclude_all
AGN_AHHacienda_v1292_exp135,1,1287,Rs,323,325,s1p4,21,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
AGN_AHHacienda_v1292_exp135,1,1289,jul,22,25,s1p4,21,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
AGN_AHHacienda_v1292_exp135,1,1290,jul,388,391,s1p4,21,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
AGN_AHHacienda_v1292_exp135,1,1291,cor,488,491,s1p4,21,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
AGN_AHHacienda_v1292_exp135,1,1292,Tes,82,85,s1p4,21,1,e_3,Abreviaturas,f_31,Expansión completa,True,,False,Saved,-1,,,intermediate/extracted_exports/reviewer_packet_1/01_ANNOTATOR_2026-07-30T23_50_46_923Z_data_export/data_ANN_export_anotations/ANN_Documents/AGN_AHHacienda_v1292_exp135_GT_moderno.ann.json,e_3,Abreviaturas,f_31,Expansión completa,True,True,valid,automatic_validation,,,,,exclude_all
