filename_stem,filename,archive,reviewer,model
utblac_wbs_0912a_duplicated,utblac_wbs_0912a_duplicated_GT.txt,utblac_wbs,4,Llama 3.3 70B · 12 000 TPM
BnF_244_03,BnF_244_03_GT.txt,bnf_244,4,Llama 3.3 70B · 12 000 TPM
BnF_243_12,BnF_243_12_GT.txt,bnf_243,4,Llama 3.3 70B · 12 000 TPM
AGN_Indios_v009_exp003_fs4v-5_01,AGN_Indios_v009_exp003_fs4v-5_01_GT.txt,agn_indios,4,GPT OSS 120B · 8 000 TPM
AGN_AHHacienda_v268_exp046_03,AGN_AHHacienda_v268_exp046_03_GT.txt,agn_ahhacienda,4,Llama 3.3 70B · 12 000 TPM
BnF_119-148_18,BnF_119-148_18_GT.txt,bnf_119-148,4,Llama 3.3 70B · 12 000 TPM
UIA_Ms149_Exp2_51,UIA_Ms149_Exp2_51_GT.txt,uia_ms149,4,Llama 3.3 70B · 12 000 TPM
BP_CM_R481_016,BP_CM_R481_016_GT.txt,bp_cm,4,Llama 3.3 70B · 12 000 TPM
BnF_075_026,BnF_075_026_GT.txt,bnf_075,4,Llama 3.3 70B · 12 000 TPM
BnF_117_03,BnF_117_03_GT.txt,bnf_117,4,Llama 3.3 70B · 12 000 TPM
BnF_032_23,BnF_032_23_GT.txt,bnf_032,4,Llama 3.3 70B · 12 000 TPM
AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10_GT.txt,agn_hospjesus,4,Llama 3.3 70B · 12 000 TPM
utblac_eog_j_04_duplicated_02,utblac_eog_j_04_duplicated_02_GT.txt,utblac_eog,4,Llama 3.3 70B · 12 000 TPM
BnF_243_17,BnF_243_17_GT.txt,bnf_243,5,Llama 3.3 70B · 12 000 TPM
AGN_Tierras_v039-2_exp003_72,AGN_Tierras_v039-2_exp003_72_GT.txt,agn_tierras,5,GPT OSS 120B · 8 000 TPM
LoC_HPKraus_138_new_07,LoC_HPKraus_138_new_07_GT.txt,loc_hpkraus,5,Llama 3.3 70B · 12 000 TPM
AGI_GUADALAJARA_230_L2_F_45V-46V_1,AGI_GUADALAJARA_230_L2_F_45V-46V_1_GT.txt,agi_guadalajara,5,GPT OSS 120B · 8 000 TPM
BnF_167_10,BnF_167_10_GT.txt,bnf_167,5,Llama 3.3 70B · 12 000 TPM
utblac_JGI_XXV-05_Tequixquiac_25,utblac_JGI_XXV-05_Tequixquiac_25_GT.txt,utblac_jgi,5,Llama 3.3 70B · 12 000 TPM
AGN_Marina_v004_exp006_005,AGN_Marina_v004_exp006_005_GT.txt,agn_marina,5,GPT OSS 120B · 8 000 TPM
BnF_117_08,BnF_117_08_GT.txt,bnf_117,5,Llama 3.3 70B · 12 000 TPM
utblac_wbs_888_duplicated_1,utblac_wbs_888_duplicated_1_GT.txt,utblac_wbs,5,Llama 3.3 70B · 12 000 TPM
BnF_283_03,BnF_283_03_GT.txt,bnf_283,5,Llama 3.3 70B · 12 000 TPM
BnF_264_12,BnF_264_12_GT.txt,bnf_264,5,Llama 3.3 70B · 12 000 TPM
BnF_116_06,BnF_116_06_GT.txt,bnf_116,5,Llama 3.3 70B · 12 000 TPM
BnF_119-148_13,BnF_119-148_13_GT.txt,bnf_119-148,5,Llama 3.3 70B · 12 000 TPM
BnF_244_05,BnF_244_05_GT.txt,bnf_244,5,Llama 3.3 70B · 12 000 TPM
utblac_wbs_888_duplicated_2,utblac_wbs_888_duplicated_2_GT.txt,utblac_wbs,5,Llama 3.3 70B · 12 000 TPM
BnF_118_06,BnF_118_06_GT.txt,bnf_118,5,Llama 3.3 70B · 12 000 TPM
BnF_244_04,BnF_244_04_GT.txt,bnf_244,5,Llama 3.3 70B · 12 000 TPM
BnF_112_23,BnF_112_23_GT.txt,bnf_112,5,GPT OSS 120B · 8 000 TPM
BnF_030_21,BnF_030_21_GT.txt,bnf_030,5,GPT OSS 120B · 8 000 TPM
AGN_GralParte_v001_exp1020_02,AGN_GralParte_v001_exp1020_02_GT.txt,agn_gralparte,5,Llama 3.3 70B · 12 000 TPM
UIA_Ms149_Exp3_31,UIA_Ms149_Exp3_31_GT.txt,uia_ms149,6,Llama 3.3 70B · 12 000 TPM
BnF_075_014,BnF_075_014_GT.txt,bnf_075,6,GPT OSS 120B · 8 000 TPM
AGI_INDIFERENTE_2065_N45_11,AGI_INDIFERENTE_2065_N45_11_GT.txt,agi_indiferente,6,Llama 3.3 70B · 12 000 TPM
BnF_110_09,BnF_110_09_GT.txt,bnf_110,6,Llama 3.3 70B · 12 000 TPM
BnF_283_05,BnF_283_05_GT.txt,bnf_283,6,Llama 3.3 70B · 12 000 TPM
BnF_111_27,BnF_111_27_GT.txt,bnf_111,6,Llama 3.3 70B · 12 000 TPM
AGN_Indios_v019_exp354_2,AGN_Indios_v019_exp354_2_GT.txt,agn_indios,6,GPT OSS 120B · 8 000 TPM
BnF_110_33,BnF_110_33_GT.txt,bnf_110,6,Llama 3.3 70B · 12 000 TPM
UIA_Ms149_Exp3_04,UIA_Ms149_Exp3_04_GT.txt,uia_ms149,6,Llama 3.3 70B · 12 000 TPM
AGN_Mercedes_v003_exp520,AGN_Mercedes_v003_exp520_GT.txt,agn_mercedes,6,GPT OSS 120B · 8 000 TPM
AGN_RealesCedDup_v016_exp515,AGN_RealesCedDup_v016_exp515_GT.txt,agn_realesceddup,6,Llama 3.3 70B · 12 000 TPM
BnF_244_02,BnF_244_02_GT.txt,bnf_244,6,Llama 3.3 70B · 12 000 TPM
AGN_RealesCedDup_v003_exp334,AGN_RealesCedDup_v003_exp334_GT.txt,agn_realesceddup,6,Llama 3.3 70B · 12 000 TPM
BnF_117_14,BnF_117_14_GT.txt,bnf_117,6,Llama 3.3 70B · 12 000 TPM
BnF_104_3,BnF_104_3_GT.txt,bnf_104,6,Llama 3.3 70B · 12 000 TPM
AMP_AC_v021__doc026_2,AMP_AC_v021__doc026_2_GT.txt,amp_ac,6,Llama 3.3 70B · 12 000 TPM
utblac_gg_mss_g62_duplicated_11,utblac_gg_mss_g62_duplicated_11_GT.txt,utblac_gg,6,Llama 3.3 70B · 12 000 TPM
