allocation_level,reviewer_packet,reviewer_name,archive,model,sample_documents,documents_with_annotation_data,documents_usable_for_rate_analysis,reviewed_modernised_tokens,median_modernised_tokens,archives_represented,reviewers_represented,models_represented
reviewer_by_archive,3,Adriana,agn_marina,,1,1,1,122,122.0,1,1,1
reviewer_by_archive,3,Adriana,bnf_032,,1,1,1,354,354.0,1,1,1
reviewer_by_archive,3,Adriana,bnf_075,,1,1,1,289,289.0,1,1,1
reviewer_by_archive,3,Adriana,bnf_110,,1,1,1,289,289.0,1,1,1
reviewer_by_archive,3,Adriana,bnf_116,,2,2,2,260,130.0,1,1,1
reviewer_by_archive,3,Adriana,bnf_119-148,,1,1,1,284,284.0,1,1,1
reviewer_by_archive,3,Adriana,bnf_167,,1,1,1,285,285.0,1,1,1
reviewer_by_archive,3,Adriana,bnf_174,,1,1,1,663,663.0,1,1,1
reviewer_by_archive,3,Adriana,bnf_243,,1,1,1,456,456.0,1,1,1
reviewer_by_archive,3,Adriana,bnf_264,,1,1,1,955,955.0,1,1,1
reviewer_by_archive,3,Adriana,bnf_266,,2,2,2,1706,853.0,1,1,1
reviewer_by_archive,3,Adriana,bnf_267,,1,1,1,232,232.0,1,1,1
reviewer_by_archive,3,Adriana,bp_cm,,1,1,1,301,301.0,1,1,1
reviewer_by_archive,3,Adriana,mechoacan_yurirapundaro,,1,1,1,321,321.0,1,1,1
reviewer_by_archive,4,Arturo,agn_ahhacienda,,1,1,1,181,181.0,1,1,1
reviewer_by_archive,4,Arturo,agn_hospjesus,,1,1,1,285,285.0,1,1,1
reviewer_by_archive,4,Arturo,agn_indios,,2,2,2,524,262.0,1,1,2
reviewer_by_archive,4,Arturo,ags_ce,,1,1,1,190,190.0,1,1,1
reviewer_by_archive,4,Arturo,bnf_032,,1,1,1,648,648.0,1,1,1
reviewer_by_archive,4,Arturo,bnf_075,,2,2,2,421,210.5,1,1,1
reviewer_by_archive,4,Arturo,bnf_112,,1,1,1,290,290.0,1,1,1
reviewer_by_archive,4,Arturo,bnf_117,,1,1,1,287,287.0,1,1,1
reviewer_by_archive,4,Arturo,bnf_118,,1,1,1,268,268.0,1,1,1
reviewer_by_archive,4,Arturo,bnf_119-148,,1,1,1,158,158.0,1,1,1
reviewer_by_archive,4,Arturo,bnf_174,,1,1,1,701,701.0,1,1,1
reviewer_by_archive,4,Arturo,bnf_243,,1,1,1,77,77.0,1,1,1
reviewer_by_archive,4,Arturo,bnf_244,,1,1,1,283,283.0,1,1,1
reviewer_by_archive,4,Arturo,bp_cm,,1,1,1,108,108.0,1,1,1
reviewer_by_archive,4,Arturo,mechoacan_yurirapundaro,,1,1,1,54,54.0,1,1,1
reviewer_by_archive,4,Arturo,uia_ms149,,1,1,1,391,391.0,1,1,1
reviewer_by_archive,4,Arturo,utblac_eog,,1,1,1,57,57.0,1,1,1
reviewer_by_archive,4,Arturo,utblac_wbs,,1,1,1,358,358.0,1,1,1
reviewer_by_archive,5,Edna,agi_guadalajara,,1,1,1,223,223.0,1,1,1
reviewer_by_archive,5,Edna,agn_gralparte,,1,1,1,38,38.0,1,1,1
reviewer_by_archive,5,Edna,agn_marina,,1,1,1,87,87.0,1,1,1
reviewer_by_archive,5,Edna,agn_tierras,,1,1,1,177,177.0,1,1,1
reviewer_by_archive,5,Edna,bnf_030,,1,1,1,453,453.0,1,1,1
reviewer_by_archive,5,Edna,bnf_112,,1,1,1,390,390.0,1,1,1
reviewer_by_archive,5,Edna,bnf_116,,1,1,1,133,133.0,1,1,1
reviewer_by_archive,5,Edna,bnf_117,,1,1,1,273,273.0,1,1,1
reviewer_by_archive,5,Edna,bnf_118,,1,1,1,279,279.0,1,1,1
reviewer_by_archive,5,Edna,bnf_119-148,,1,1,1,279,279.0,1,1,1
reviewer_by_archive,5,Edna,bnf_167,,1,1,1,437,437.0,1,1,1
reviewer_by_archive,5,Edna,bnf_243,,1,1,1,400,400.0,1,1,1
reviewer_by_archive,5,Edna,bnf_244,,2,2,2,571,285.5,1,1,1
reviewer_by_archive,5,Edna,bnf_264,,1,1,1,819,819.0,1,1,1
reviewer_by_archive,5,Edna,bnf_283,,1,1,1,460,460.0,1,1,1
reviewer_by_archive,5,Edna,loc_hpkraus,,1,1,1,295,295.0,1,1,1
reviewer_by_archive,5,Edna,utblac_jgi,,1,1,1,298,298.0,1,1,1
reviewer_by_archive,5,Edna,utblac_wbs,,2,2,2,305,152.5,1,1,1
reviewer_by_archive,6,Alba,agi_indiferente,,1,1,1,169,169.0,1,1,1
reviewer_by_archive,6,Alba,agi_patronato,,1,1,1,293,293.0,1,1,1
reviewer_by_archive,6,Alba,agn_indios,,1,1,1,559,559.0,1,1,1
reviewer_by_archive,6,Alba,agn_mercedes,,1,1,1,455,455.0,1,1,1
reviewer_by_archive,6,Alba,agn_realesceddup,,3,3,3,1298,338.0,1,1,2
reviewer_by_archive,6,Alba,amp_ac,,1,1,1,112,112.0,1,1,1
reviewer_by_archive,6,Alba,bnf_075,,1,1,1,383,383.0,1,1,1
reviewer_by_archive,6,Alba,bnf_104,,1,1,1,245,245.0,1,1,1
reviewer_by_archive,6,Alba,bnf_110,,2,2,2,500,250.0,1,1,1
reviewer_by_archive,6,Alba,bnf_111,,1,1,1,570,570.0,1,1,1
reviewer_by_archive,6,Alba,bnf_117,,1,1,1,334,334.0,1,1,1
reviewer_by_archive,6,Alba,bnf_118,,1,1,1,245,245.0,1,1,1
reviewer_by_archive,6,Alba,bnf_244,,1,1,1,146,146.0,1,1,1
reviewer_by_archive,6,Alba,bnf_283,,1,1,1,564,564.0,1,1,1
reviewer_by_archive,6,Alba,uia_ms149,,2,2,2,567,283.5,1,1,1
reviewer_by_archive,6,Alba,utblac_gg,,1,1,1,175,175.0,1,1,1
reviewer_by_archive,7,Paloma,agi_patronato,,2,2,2,641,320.5,1,1,2
reviewer_by_archive,7,Paloma,agn_ahhacienda,,1,1,1,245,245.0,1,1,1
reviewer_by_archive,7,Paloma,agn_gralparte,,1,1,1,338,338.0,1,1,1
reviewer_by_archive,7,Paloma,agn_indiferentevirreinal,,1,1,1,137,137.0,1,1,1
reviewer_by_archive,7,Paloma,agn_indios,,1,1,1,414,414.0,1,1,1
reviewer_by_archive,7,Paloma,agn_inquisicion,,1,1,1,40,40.0,1,1,1
reviewer_by_archive,7,Paloma,agn_realesceddup,,1,1,1,262,262.0,1,1,1
reviewer_by_archive,7,Paloma,bnf_030,,1,1,1,71,71.0,1,1,1
reviewer_by_archive,7,Paloma,bnf_032,,1,1,1,242,242.0,1,1,1
reviewer_by_archive,7,Paloma,bnf_110,,1,1,1,100,100.0,1,1,1
reviewer_by_archive,7,Paloma,bnf_111,,1,1,1,569,569.0,1,1,1
reviewer_by_archive,7,Paloma,bnf_112,,2,2,2,586,293.0,1,1,2
reviewer_by_archive,7,Paloma,bnf_113,,2,2,2,526,263.0,1,1,2
reviewer_by_archive,7,Paloma,bnf_118,,1,1,1,318,318.0,1,1,1
reviewer_by_archive,7,Paloma,bnf_119-148,,1,1,1,558,558.0,1,1,1
reviewer_by_archive,7,Paloma,bnf_174,,1,1,1,636,636.0,1,1,1
reviewer_by_archive,7,Paloma,bnf_264,,1,1,1,445,445.0,1,1,1
reviewer_by_archive,8,Flor,agi_contratacion,,1,1,1,206,206.0,1,1,1
reviewer_by_archive,8,Flor,agn_hospjesus,,1,1,1,142,142.0,1,1,1
reviewer_by_archive,8,Flor,agn_inquisicion,,1,1,1,10,10.0,1,1,1
reviewer_by_archive,8,Flor,agn_marina,,1,1,1,110,110.0,1,1,1
reviewer_by_archive,8,Flor,agn_tierras,,1,1,1,184,184.0,1,1,1
reviewer_by_archive,8,Flor,ags_ce,,1,1,1,189,189.0,1,1,1
reviewer_by_archive,8,Flor,bnf_032,,1,1,1,12,12.0,1,1,1
reviewer_by_archive,8,Flor,bnf_111,,2,2,2,953,476.5,1,1,2
reviewer_by_archive,8,Flor,bnf_113,,1,1,1,598,598.0,1,1,1
reviewer_by_archive,8,Flor,bnf_117,,1,1,1,136,136.0,1,1,1
reviewer_by_archive,8,Flor,bnf_119-148,,1,1,1,223,223.0,1,1,1
reviewer_by_archive,8,Flor,bnf_266,,1,1,1,800,800.0,1,1,1
reviewer_by_archive,8,Flor,bnf_394,,2,2,2,531,265.5,1,1,1
reviewer_by_archive,8,Flor,utblac_eog,,1,1,1,166,166.0,1,1,1
reviewer_by_archive,8,Flor,utblac_gg,,2,2,2,399,199.5,1,1,1
reviewer_by_archive,8,Flor,utblac_jgi,,2,2,2,370,185.0,1,1,1
reviewer_by_archive,9,Rodrigo,agi_indiferente,,3,3,3,939,327.0,1,1,2
reviewer_by_archive,9,Rodrigo,agn_gralparte,,2,2,2,905,452.5,1,1,2
reviewer_by_archive,9,Rodrigo,agn_hospjesus,,1,1,1,307,307.0,1,1,1
reviewer_by_archive,9,Rodrigo,agn_indiferentevirreinal,,1,1,1,276,276.0,1,1,1
reviewer_by_archive,9,Rodrigo,agn_inquisicion,,1,1,1,258,258.0,1,1,1
reviewer_by_archive,9,Rodrigo,ags_ce,,1,1,1,181,181.0,1,1,1
reviewer_by_archive,9,Rodrigo,amp_ac,,1,1,1,188,188.0,1,1,1
reviewer_by_archive,9,Rodrigo,bne_ms3047,,1,1,1,513,513.0,1,1,1
reviewer_by_archive,9,Rodrigo,bnf_030,,1,1,1,278,278.0,1,1,1
reviewer_by_archive,9,Rodrigo,bnf_118,,1,1,1,27,27.0,1,1,1
reviewer_by_archive,9,Rodrigo,bnf_243,,1,1,1,417,417.0,1,1,1
reviewer_by_archive,9,Rodrigo,bnf_266,,1,1,1,766,766.0,1,1,1
reviewer_by_archive,9,Rodrigo,bnf_394,,1,1,1,413,413.0,1,1,1
reviewer_by_archive,9,Rodrigo,bp_cm,,1,1,1,358,358.0,1,1,1
reviewer_by_archive,9,Rodrigo,loc_hpkraus,,1,1,1,232,232.0,1,1,1
reviewer_by_archive,9,Rodrigo,utblac_jgi,,1,1,1,146,146.0,1,1,1
reviewer_by_archive,9,Rodrigo,utblac_wbs,,1,1,1,544,544.0,1,1,1
