pattern_row_id,analysis_scope,model,normalised_annotated_form,effective_error_category,effective_subrule,distinct_annotations,affected_documents,affected_reviewers,affected_archives,example_surface_forms,example_documents,reviewers,archives,all_form_annotations,rule_share_for_form,rule_share_wilson_lower_95,recurrent_across_documents_and_reviewers
43,all_models,ALL_MODELS,principales,Cambios,Sustitución,10,4,3,2,principales,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_02 | AGN_HospJesus_c474_leg267-2_exp024_7473-7537_10 | BnF_032_23 | AGN_HospJesus_c474_leg267-2_exp024_7473-7537_05,Paco | Arturo | Rodrigo,agn_hospjesus | bnf_032,10,1.0,0.7224672001371106,True
44,all_models,ALL_MODELS,dixo,Filológicas - instrucciones,x sibilante → j,6,4,3,3,dixo,BnF_112_23 | BnF_112_04 | BnF_113_22 | BnF_111_20,Edna | Paloma | Flor,bnf_112 | bnf_113 | bnf_111,6,1.0,0.6096657120978346,True
45,all_models,ALL_MODELS,escrivano,Filológicas - instrucciones,Regularización de labiales (b/v),7,4,3,4,escrivano,BnF_075_003 | BnF_116_07 | AGN_AHHacienda_v268_exp046_03 | BnF_112_04,Adriana | Arturo | Paloma,bnf_075 | bnf_116 | agn_ahhacienda | bnf_112,8,0.875,0.5291118177871466,True
46,all_models,ALL_MODELS,mo,Abreviaturas,Expansión completa,4,4,3,4,mo | Mo,AGI_CONTRATACION_1091_N3_098 | AGN_AHHacienda_v1292_exp135 | BnF_111_22 | BNE_ms3047_1,Javier | Paloma | Rodrigo,agi_contratacion | agn_ahhacienda | bnf_111 | bne_ms3047,4,1.0,0.5101091635454027,True
47,all_models,ALL_MODELS,rs,Abreviaturas,Expansión completa,5,4,3,4,Rs,AGI_CONTRATACION_1091_N3_098 | AGN_AHHacienda_v1292_exp135 | AGN_Indios_v019_exp354_2 | AGN_IndiferenteVirreinal_caja4071_exp024_2,Javier | Alba | Paloma,agi_contratacion | agn_ahhacienda | agn_indios | agn_indiferentevirreinal,7,0.7142857142857143,0.35893445183261935,True
48,all_models,ALL_MODELS,y,Cambios,No sub-rule assigned,44,4,3,3,y,BnF_116_02 | BnF_032_33 | BnF_075_003 | BnF_075_026,Paco | Adriana | Arturo,bnf_116 | bnf_032 | bnf_075,185,0.23783783783783785,0.18221262794606685,True
49,all_models,ALL_MODELS,de,Abreviaturas,Expansión completa,6,4,3,4,de,BNE_ms3047_4 | AGI_PATRONATO_182_R3_04 | BnF_112_25 | BnF_030_27,Javier | Paco | Rodrigo,bne_ms3047 | agi_patronato | bnf_112 | bnf_030,21,0.2857142857142857,0.13813862952122133,True
50,all_models,ALL_MODELS,que,Cambios,Sustitución,4,4,3,4,que,BnF_030_22 | BnF_112_02 | BnF_111_21 | utblac_gg_mss_g62_duplicated_09,Paco | Arturo | Flor,bnf_030 | bnf_112 | bnf_111 | utblac_gg,33,0.12121212121212122,0.04816161309413559,True
51,all_models,ALL_MODELS,desta,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",10,4,2,4,desta | deSta,BnF_112_25 | BnF_116_02 | AGI_PATRONATO_182_R3_01 | AGN_RealesCedDup_v030_exp874,Paco | Alba,bnf_112 | bnf_116 | agi_patronato | agn_realesceddup,10,1.0,0.7224672001371106,True
52,all_models,ALL_MODELS,deste,Abreviaturas,"Excepciones (desto/a/os, dello/a/os)",8,4,2,4,deste,AGI_CONTRATACION_1089_N8_151 | BnF_032_36 | BnF_104_2 | AGI_PATRONATO_182_R3_01,Paco | Alba,agi_contratacion | bnf_032 | bnf_104 | agi_patronato,8,1.0,0.6755924351161198,True
