pattern_row_id,analysis_scope,model,normalised_annotated_form,effective_error_category,effective_subrule,distinct_annotations,affected_documents,affected_reviewers,affected_archives,example_surface_forms,example_documents,reviewers,archives,all_form_annotations,rule_share_for_form,rule_share_wilson_lower_95,recurrent_across_documents_and_reviewers
3153,model,GPT OSS 120B · 8 000 TPM,haver,Filológicas - instrucciones,Regularización de labiales (b/v),1,1,1,1,haver,AGN_IndiferenteVirreinal_caja4071_exp024_2,Paloma,agn_indiferentevirreinal,1,1.0,0.20654931437723742,False
3154,all_models,ALL_MODELS,haviéndome,Filológicas - instrucciones,Regularización de labiales (b/v),1,1,1,1,haviéndome,BnF_118_03,Paloma,bnf_118,1,1.0,0.20654931437723742,False
3155,model,Llama 3.3 70B · 12 000 TPM,haviéndome,Filológicas - instrucciones,Regularización de labiales (b/v),1,1,1,1,haviéndome,BnF_118_03,Paloma,bnf_118,1,1.0,0.20654931437723742,False
3156,model,GPT OSS 120B · 8 000 TPM,hay,Cambios,Otros,1,1,1,1,hay,BNE_ms3047_1,Rodrigo,bne_ms3047,1,1.0,0.20654931437723742,False
3157,model,Llama 3.3 70B · 12 000 TPM,hay,Cambios,Otros,1,1,1,1,hay,AGI_INDIFERENTE_1529_N36_07,Rodrigo,agi_indiferente,1,1.0,0.20654931437723742,False
3158,all_models,ALL_MODELS,hay;,Puntuación,"Coma (,)",1,1,1,1,hay;,BnF_174_06,Javier,bnf_174,1,1.0,0.20654931437723742,False
3159,model,Llama 3.3 70B · 12 000 TPM,hay;,Puntuación,"Coma (,)",1,1,1,1,hay;,BnF_174_06,Javier,bnf_174,1,1.0,0.20654931437723742,False
3160,all_models,ALL_MODELS,"haya, tal",Puntuación,"Coma (,)",1,1,1,1,"haya, tal",AGN_Indios_v009_exp002_fs3v-4_01,Arturo,agn_indios,1,1.0,0.20654931437723742,False
3161,model,Llama 3.3 70B · 12 000 TPM,"haya, tal",Puntuación,"Coma (,)",1,1,1,1,"haya, tal",AGN_Indios_v009_exp002_fs3v-4_01,Arturo,agn_indios,1,1.0,0.20654931437723742,False
3162,all_models,ALL_MODELS,hazda,Abreviaturas,Expansión completa,1,1,1,1,hazda,BNE_ms3047_4,Javier,bne_ms3047,1,1.0,0.20654931437723742,False
3163,model,GPT OSS 120B · 8 000 TPM,hazda,Abreviaturas,Expansión completa,1,1,1,1,hazda,BNE_ms3047_4,Javier,bne_ms3047,1,1.0,0.20654931437723742,False
3164,all_models,ALL_MODELS,hazido,Cambios,Otros,1,1,1,1,hazido,AGN_GralParte_v006_exp617_01,Rodrigo,agn_gralparte,1,1.0,0.20654931437723742,False
3165,model,GPT OSS 120B · 8 000 TPM,hazido,Cambios,Otros,1,1,1,1,hazido,AGN_GralParte_v006_exp617_01,Rodrigo,agn_gralparte,1,1.0,0.20654931437723742,False
3166,all_models,ALL_MODELS,hazido,Filológicas - mecánicas,Regularización de sibilantes,1,1,1,1,hazido,AGN_GralParte_v006_exp617_01,Rodrigo,agn_gralparte,1,1.0,0.20654931437723742,False
3167,model,GPT OSS 120B · 8 000 TPM,hazido,Filológicas - mecánicas,Regularización de sibilantes,1,1,1,1,hazido,AGN_GralParte_v006_exp617_01,Rodrigo,agn_gralparte,1,1.0,0.20654931437723742,False
3168,all_models,ALL_MODELS,hechizos,Cambios,Sustitución,1,1,1,1,hechizos,utblac_gg_mss_g62_duplicated_03,Flor,utblac_gg,1,1.0,0.20654931437723742,False
3169,model,Llama 3.3 70B · 12 000 TPM,hechizos,Cambios,Sustitución,1,1,1,1,hechizos,utblac_gg_mss_g62_duplicated_03,Flor,utblac_gg,1,1.0,0.20654931437723742,False
3170,model,GPT OSS 120B · 8 000 TPM,hecho,Cambios,No sub-rule assigned,1,1,1,1,hecho,BnF_104_2,Paco,bnf_104,1,1.0,0.20654931437723742,False
3171,all_models,ALL_MODELS,hecholo,Filológicas - instrucciones,Regularización de H etimológica,1,1,1,1,hecholo,BnF_266_03,Rodrigo,bnf_266,1,1.0,0.20654931437723742,False
3172,model,Llama 3.3 70B · 12 000 TPM,hecholo,Filológicas - instrucciones,Regularización de H etimológica,1,1,1,1,hecholo,BnF_266_03,Rodrigo,bnf_266,1,1.0,0.20654931437723742,False
3173,all_models,ALL_MODELS,hedad,Filológicas - instrucciones,Regularización de H etimológica,1,1,1,1,hedad,AGN_GralParte_v006_exp617_01,Rodrigo,agn_gralparte,1,1.0,0.20654931437723742,False
3174,model,GPT OSS 120B · 8 000 TPM,hedad,Filológicas - instrucciones,Regularización de H etimológica,1,1,1,1,hedad,AGN_GralParte_v006_exp617_01,Rodrigo,agn_gralparte,1,1.0,0.20654931437723742,False
3175,model,GPT OSS 120B · 8 000 TPM,hera,Filológicas - instrucciones,Regularización de H etimológica,1,1,1,1,hera,BnF_112_02,Arturo,bnf_112,1,1.0,0.20654931437723742,False
3176,model,Llama 3.3 70B · 12 000 TPM,hera,Filológicas - instrucciones,Regularización de H etimológica,1,1,1,1,hera,BnF_032_33,Adriana,bnf_032,1,1.0,0.20654931437723742,False
3177,model,Llama 3.3 70B · 12 000 TPM,herdo,Abreviaturas,Expansión completa,1,1,1,1,Herdo,BnF_075_003,Adriana,bnf_075,1,1.0,0.20654931437723742,False
3178,model,GPT OSS 120B · 8 000 TPM,herede,Acentuación,No sub-rule assigned,1,1,1,1,herede,BnF_112_23,Edna,bnf_112,1,1.0,0.20654931437723742,False
3179,model,Llama 3.3 70B · 12 000 TPM,herede,Acentuación,No sub-rule assigned,1,1,1,1,herede,BnF_244_04,Edna,bnf_244,1,1.0,0.20654931437723742,False
3180,all_models,ALL_MODELS,herederos hasta,Puntuación,No sub-rule assigned,1,1,1,1,herederos hasta,BnF_243_12,Arturo,bnf_243,1,1.0,0.20654931437723742,False
3181,model,Llama 3.3 70B · 12 000 TPM,herederos hasta,Puntuación,No sub-rule assigned,1,1,1,1,herederos hasta,BnF_243_12,Arturo,bnf_243,1,1.0,0.20654931437723742,False
3182,all_models,ALL_MODELS,heredo,Abreviaturas,Expansión completa,1,1,1,1,heredo,BnF_112_02,Arturo,bnf_112,1,1.0,0.20654931437723742,False
3183,model,GPT OSS 120B · 8 000 TPM,heredo,Abreviaturas,Expansión completa,1,1,1,1,heredo,BnF_112_02,Arturo,bnf_112,1,1.0,0.20654931437723742,False
3184,all_models,ALL_MODELS,heredo,Cambios,Inserción,1,1,1,1,heredo,BnF_112_02,Arturo,bnf_112,1,1.0,0.20654931437723742,False
3185,model,GPT OSS 120B · 8 000 TPM,heredo,Cambios,Inserción,1,1,1,1,heredo,BnF_112_02,Arturo,bnf_112,1,1.0,0.20654931437723742,False
3186,all_models,ALL_MODELS,heredó,Cambios,Sustitución,1,1,1,1,heredó,BnF_110_13,Adriana,bnf_110,1,1.0,0.20654931437723742,False
3187,model,Llama 3.3 70B · 12 000 TPM,heredó,Cambios,Sustitución,1,1,1,1,heredó,BnF_110_13,Adriana,bnf_110,1,1.0,0.20654931437723742,False
3188,all_models,ALL_MODELS,herejía,Cambios,Deleción,1,1,1,1,herejía,utblac_gg_mss_g62_duplicated_09,Flor,utblac_gg,1,1.0,0.20654931437723742,False
3189,model,Llama 3.3 70B · 12 000 TPM,herejía,Cambios,Deleción,1,1,1,1,herejía,utblac_gg_mss_g62_duplicated_09,Flor,utblac_gg,1,1.0,0.20654931437723742,False
3190,all_models,ALL_MODELS,herejía,Cambios,Sustitución,1,1,1,1,herejía,utblac_gg_mss_g62_duplicated_09,Flor,utblac_gg,1,1.0,0.20654931437723742,False
3191,model,Llama 3.3 70B · 12 000 TPM,herejía,Cambios,Sustitución,1,1,1,1,herejía,utblac_gg_mss_g62_duplicated_09,Flor,utblac_gg,1,1.0,0.20654931437723742,False
3192,all_models,ALL_MODELS,herendo,Cambios,Sustitución,1,1,1,1,herendo,BnF_030_21,Edna,bnf_030,1,1.0,0.20654931437723742,False
3193,model,GPT OSS 120B · 8 000 TPM,herendo,Cambios,Sustitución,1,1,1,1,herendo,BnF_030_21,Edna,bnf_030,1,1.0,0.20654931437723742,False
3194,all_models,ALL_MODELS,hernandes,Filológicas - mecánicas,Regularización de sibilantes,1,1,1,1,hernandes,BnF_113_22,Paloma,bnf_113,1,1.0,0.20654931437723742,False
3195,model,GPT OSS 120B · 8 000 TPM,hernandes,Filológicas - mecánicas,Regularización de sibilantes,1,1,1,1,hernandes,BnF_113_22,Paloma,bnf_113,1,1.0,0.20654931437723742,False
3196,all_models,ALL_MODELS,hice,Cambios,Sustitución,1,1,1,1,hice,BnF_104_2,Paco,bnf_104,1,1.0,0.20654931437723742,False
3197,model,GPT OSS 120B · 8 000 TPM,hice,Cambios,Sustitución,1,1,1,1,hice,BnF_104_2,Paco,bnf_104,1,1.0,0.20654931437723742,False
3198,all_models,ALL_MODELS,hicieseis,Cambios,Sustitución,1,1,1,1,hicieseis,UIA_Ms149_Exp2_51,Arturo,uia_ms149,1,1.0,0.20654931437723742,False
3199,model,Llama 3.3 70B · 12 000 TPM,hicieseis,Cambios,Sustitución,1,1,1,1,hicieseis,UIA_Ms149_Exp2_51,Arturo,uia_ms149,1,1.0,0.20654931437723742,False
3200,all_models,ALL_MODELS,hicisteis,Cambios,Sustitución,1,1,1,1,hicisteis,UIA_Ms149_Exp2_51,Arturo,uia_ms149,1,1.0,0.20654931437723742,False
3201,model,Llama 3.3 70B · 12 000 TPM,hicisteis,Cambios,Sustitución,1,1,1,1,hicisteis,UIA_Ms149_Exp2_51,Arturo,uia_ms149,1,1.0,0.20654931437723742,False
3202,all_models,ALL_MODELS,hijos y,Puntuación,Punto (.),1,1,1,1,hijos y,BnF_032_36,Paco,bnf_032,1,1.0,0.20654931437723742,False
3203,model,GPT OSS 120B · 8 000 TPM,hijos y,Puntuación,Punto (.),1,1,1,1,hijos y,BnF_032_36,Paco,bnf_032,1,1.0,0.20654931437723742,False
3204,all_models,ALL_MODELS,hincaron . en,Puntuación,Punto (.),1,1,1,1,hincaron . En,BnF_112_25,Paco,bnf_112,1,1.0,0.20654931437723742,False
3205,model,GPT OSS 120B · 8 000 TPM,hincaron . en,Puntuación,Punto (.),1,1,1,1,hincaron . En,BnF_112_25,Paco,bnf_112,1,1.0,0.20654931437723742,False
3206,all_models,ALL_MODELS,hista,Abreviaturas,Expansión completa,1,1,1,1,hista,BnF_264_03,Adriana,bnf_264,1,1.0,0.20654931437723742,False
3207,model,Llama 3.3 70B · 12 000 TPM,hista,Abreviaturas,Expansión completa,1,1,1,1,hista,BnF_264_03,Adriana,bnf_264,1,1.0,0.20654931437723742,False
3208,all_models,ALL_MODELS,hiziese,Filológicas - mecánicas,Regularización de sibilantes,1,1,1,1,hiziese,AGI_GUADALAJARA_230_L2_F_45V-46V_1,Edna,agi_guadalajara,1,1.0,0.20654931437723742,False
3209,model,GPT OSS 120B · 8 000 TPM,hiziese,Filológicas - mecánicas,Regularización de sibilantes,1,1,1,1,hiziese,AGI_GUADALAJARA_230_L2_F_45V-46V_1,Edna,agi_guadalajara,1,1.0,0.20654931437723742,False
3210,all_models,ALL_MODELS,hizo,Cambios,Sustitución,1,1,1,1,hizo,utblac_gg_mss_g62_duplicated_11,Alba,utblac_gg,1,1.0,0.20654931437723742,False
3211,model,Llama 3.3 70B · 12 000 TPM,hizo,Cambios,Sustitución,1,1,1,1,hizo,utblac_gg_mss_g62_duplicated_11,Alba,utblac_gg,1,1.0,0.20654931437723742,False
3212,all_models,ALL_MODELS,hizose,Acentuación,No sub-rule assigned,1,1,1,1,Hizose,BnF_110_09,Alba,bnf_110,1,1.0,0.20654931437723742,False
3213,model,Llama 3.3 70B · 12 000 TPM,hizose,Acentuación,No sub-rule assigned,1,1,1,1,Hizose,BnF_110_09,Alba,bnf_110,1,1.0,0.20654931437723742,False
3214,all_models,ALL_MODELS,holandesa,Cambios,Inserción,1,1,1,1,holandesa,BnF_266_03,Rodrigo,bnf_266,1,1.0,0.20654931437723742,False
3215,model,Llama 3.3 70B · 12 000 TPM,holandesa,Cambios,Inserción,1,1,1,1,holandesa,BnF_266_03,Rodrigo,bnf_266,1,1.0,0.20654931437723742,False
3216,all_models,ALL_MODELS,holgaría,Cambios,Sustitución,1,1,1,1,holgaría,BP_CM_R481_071_2,Adriana,bp_cm,1,1.0,0.20654931437723742,False
3217,model,Llama 3.3 70B · 12 000 TPM,holgaría,Cambios,Sustitución,1,1,1,1,holgaría,BP_CM_R481_071_2,Adriana,bp_cm,1,1.0,0.20654931437723742,False
3218,all_models,ALL_MODELS,home,Abreviaturas,Expansión completa,1,1,1,1,home,BnF_264_03,Adriana,bnf_264,1,1.0,0.20654931437723742,False
3219,model,Llama 3.3 70B · 12 000 TPM,home,Abreviaturas,Expansión completa,1,1,1,1,home,BnF_264_03,Adriana,bnf_264,1,1.0,0.20654931437723742,False
3220,all_models,ALL_MODELS,honze,Filológicas - instrucciones,Regularización de H etimológica,1,1,1,1,honze,AGN_AHHacienda_v1292_exp135,Javier,agn_ahhacienda,1,1.0,0.20654931437723742,False
3221,model,GPT OSS 120B · 8 000 TPM,honze,Filológicas - instrucciones,Regularización de H etimológica,1,1,1,1,honze,AGN_AHHacienda_v1292_exp135,Javier,agn_ahhacienda,1,1.0,0.20654931437723742,False
3222,all_models,ALL_MODELS,"hoy,",Puntuación,"Coma (,)",1,1,1,1,"hoy,",BnF_075_026,Arturo,bnf_075,1,1.0,0.20654931437723742,False
3223,model,Llama 3.3 70B · 12 000 TPM,"hoy,",Puntuación,"Coma (,)",1,1,1,1,"hoy,",BnF_075_026,Arturo,bnf_075,1,1.0,0.20654931437723742,False
3224,all_models,ALL_MODELS,hoy. 6. racioneros,Puntuación,No sub-rule assigned,1,1,1,1,hoy. 6. racioneros,BNE_ms3047_1,Rodrigo,bne_ms3047,1,1.0,0.20654931437723742,False
3225,model,GPT OSS 120B · 8 000 TPM,hoy. 6. racioneros,Puntuación,No sub-rule assigned,1,1,1,1,hoy. 6. racioneros,BNE_ms3047_1,Rodrigo,bne_ms3047,1,1.0,0.20654931437723742,False
3226,model,GPT OSS 120B · 8 000 TPM,hres,Abreviaturas,Expansión completa,1,1,1,1,hres,AGN_GralParte_v006_exp617_01,Rodrigo,agn_gralparte,1,1.0,0.20654931437723742,False
3227,model,Llama 3.3 70B · 12 000 TPM,hres,Abreviaturas,Expansión completa,1,1,1,1,Hres,AGN_GralParte_v006_exp617_02,Rodrigo,agn_gralparte,1,1.0,0.20654931437723742,False
3228,all_models,ALL_MODELS,hrez,Abreviaturas,Expansión completa,1,1,1,1,Hrez,AGN_GralParte_v006_exp617_01,Rodrigo,agn_gralparte,1,1.0,0.20654931437723742,False
3229,model,GPT OSS 120B · 8 000 TPM,hrez,Abreviaturas,Expansión completa,1,1,1,1,Hrez,AGN_GralParte_v006_exp617_01,Rodrigo,agn_gralparte,1,1.0,0.20654931437723742,False
3230,all_models,ALL_MODELS,hrrs,Abreviaturas,Expansión completa,1,1,1,1,hrrs,BnF_032_36,Paco,bnf_032,1,1.0,0.20654931437723742,False
3231,model,GPT OSS 120B · 8 000 TPM,hrrs,Abreviaturas,Expansión completa,1,1,1,1,hrrs,BnF_032_36,Paco,bnf_032,1,1.0,0.20654931437723742,False
3232,all_models,ALL_MODELS,hrz,Abreviaturas,Expansión completa,1,1,1,1,hrz,AGN_GralParte_v006_exp617_01,Rodrigo,agn_gralparte,1,1.0,0.20654931437723742,False
3233,model,GPT OSS 120B · 8 000 TPM,hrz,Abreviaturas,Expansión completa,1,1,1,1,hrz,AGN_GralParte_v006_exp617_01,Rodrigo,agn_gralparte,1,1.0,0.20654931437723742,False
3234,all_models,ALL_MODELS,huaxtepec,Cambios,Otros,1,1,1,1,huaxtepec,AGI_INDIFERENTE_1529_N36_07,Rodrigo,agi_indiferente,1,1.0,0.20654931437723742,False
3235,model,Llama 3.3 70B · 12 000 TPM,huaxtepec,Cambios,Otros,1,1,1,1,huaxtepec,AGI_INDIFERENTE_1529_N36_07,Rodrigo,agi_indiferente,1,1.0,0.20654931437723742,False
3236,all_models,ALL_MODELS,hubiere,Cambios,Sustitución,1,1,1,1,hubiere,utblac_eog_j_04_duplicated_02,Arturo,utblac_eog,1,1.0,0.20654931437723742,False
3237,model,Llama 3.3 70B · 12 000 TPM,hubiere,Cambios,Sustitución,1,1,1,1,hubiere,utblac_eog_j_04_duplicated_02,Arturo,utblac_eog,1,1.0,0.20654931437723742,False
3238,all_models,ALL_MODELS,hubiere y,Puntuación,Punto (.),1,1,1,1,hubiere y,AGI_CONTRATACION_1089_N8_151,Paco,agi_contratacion,1,1.0,0.20654931437723742,False
3239,model,Llama 3.3 70B · 12 000 TPM,hubiere y,Puntuación,Punto (.),1,1,1,1,hubiere y,AGI_CONTRATACION_1089_N8_151,Paco,agi_contratacion,1,1.0,0.20654931437723742,False
3240,all_models,ALL_MODELS,hubieseis,Cambios,Sustitución,1,1,1,1,hubieseis,utblac_wbs_1433_duplicated_1,Rodrigo,utblac_wbs,1,1.0,0.20654931437723742,False
3241,model,Llama 3.3 70B · 12 000 TPM,hubieseis,Cambios,Sustitución,1,1,1,1,hubieseis,utblac_wbs_1433_duplicated_1,Rodrigo,utblac_wbs,1,1.0,0.20654931437723742,False
3242,all_models,ALL_MODELS,hubo,Cambios,Sustitución,1,1,1,1,hubo,BnF_394_10,Flor,bnf_394,1,1.0,0.20654931437723742,False
3243,model,Llama 3.3 70B · 12 000 TPM,hubo,Cambios,Sustitución,1,1,1,1,hubo,BnF_394_10,Flor,bnf_394,1,1.0,0.20654931437723742,False
3244,all_models,ALL_MODELS,huehuetoca tlan,Cambios,Inserción,1,1,1,1,Huehuetoca tlan,BnF_267_03,Paco,bnf_267,1,1.0,0.20654931437723742,False
3245,model,Llama 3.3 70B · 12 000 TPM,huehuetoca tlan,Cambios,Inserción,1,1,1,1,Huehuetoca tlan,BnF_267_03,Paco,bnf_267,1,1.0,0.20654931437723742,False
3246,all_models,ALL_MODELS,"idolatraban, y la piedra",Cambios,Deleción,1,1,1,1,"idolatraban, y la piedra",BnF_264_12,Edna,bnf_264,1,1.0,0.20654931437723742,False
3247,model,Llama 3.3 70B · 12 000 TPM,"idolatraban, y la piedra",Cambios,Deleción,1,1,1,1,"idolatraban, y la piedra",BnF_264_12,Edna,bnf_264,1,1.0,0.20654931437723742,False
3248,all_models,ALL_MODELS,idolatrias,Acentuación,No sub-rule assigned,1,1,1,1,idolatrias,AGN_Indios_v009_exp003_fs4v-5_01,Arturo,agn_indios,1,1.0,0.20654931437723742,False
3249,model,GPT OSS 120B · 8 000 TPM,idolatrias,Acentuación,No sub-rule assigned,1,1,1,1,idolatrias,AGN_Indios_v009_exp003_fs4v-5_01,Arturo,agn_indios,1,1.0,0.20654931437723742,False
3250,all_models,ALL_MODELS,"iglesia, que",Puntuación,"Coma (,)",1,1,1,1,"Iglesia, que",BnF_174_03,Arturo,bnf_174,1,1.0,0.20654931437723742,False
3251,model,Llama 3.3 70B · 12 000 TPM,"iglesia, que",Puntuación,"Coma (,)",1,1,1,1,"Iglesia, que",BnF_174_03,Arturo,bnf_174,1,1.0,0.20654931437723742,False
3252,all_models,ALL_MODELS,"ignorancia, a",Puntuación,"Coma (,)",1,1,1,1,"ignorancia, a",utblac_wbs_0912a_duplicated,Arturo,utblac_wbs,1,1.0,0.20654931437723742,False
3253,model,Llama 3.3 70B · 12 000 TPM,"ignorancia, a",Puntuación,"Coma (,)",1,1,1,1,"ignorancia, a",utblac_wbs_0912a_duplicated,Arturo,utblac_wbs,1,1.0,0.20654931437723742,False
3254,all_models,ALL_MODELS,"ignorancia, y",Puntuación,"Coma (,)",1,1,1,1,"ignorancia, y",utblac_wbs_0912a_duplicated,Arturo,utblac_wbs,1,1.0,0.20654931437723742,False
3255,model,Llama 3.3 70B · 12 000 TPM,"ignorancia, y",Puntuación,"Coma (,)",1,1,1,1,"ignorancia, y",utblac_wbs_0912a_duplicated,Arturo,utblac_wbs,1,1.0,0.20654931437723742,False
3256,all_models,ALL_MODELS,igual,Cambios,Deleción,1,1,1,1,Igual,BNE_ms3047_4,Javier,bne_ms3047,1,1.0,0.20654931437723742,False
3257,model,GPT OSS 120B · 8 000 TPM,igual,Cambios,Deleción,1,1,1,1,Igual,BNE_ms3047_4,Javier,bne_ms3047,1,1.0,0.20654931437723742,False
3258,model,GPT OSS 120B · 8 000 TPM,ilmo.,Abreviaturas,Expansión completa,1,1,1,1,Ilmo.,AGI_PATRONATO_182_R3_04,Paco,agi_patronato,1,1.0,0.20654931437723742,False
3259,model,Llama 3.3 70B · 12 000 TPM,ilmo.,Abreviaturas,No sub-rule assigned,1,1,1,1,Ilmo.,AGN_HospJesus_c205_exp041_04,Flor,agn_hospjesus,1,1.0,0.20654931437723742,False
3260,all_models,ALL_MODELS,importancia. a,Puntuación,Punto (.),1,1,1,1,importancia. a,AGN_Indios_v009_exp003_fs4v-5_01,Arturo,agn_indios,1,1.0,0.20654931437723742,False
3261,model,GPT OSS 120B · 8 000 TPM,importancia. a,Puntuación,Punto (.),1,1,1,1,importancia. a,AGN_Indios_v009_exp003_fs4v-5_01,Arturo,agn_indios,1,1.0,0.20654931437723742,False
3262,all_models,ALL_MODELS,impotencia,Cambios,Sustitución,1,1,1,1,impotencia,BP_CM_32386_007_2,Rodrigo,bp_cm,1,1.0,0.20654931437723742,False
3263,model,Llama 3.3 70B · 12 000 TPM,impotencia,Cambios,Sustitución,1,1,1,1,impotencia,BP_CM_32386_007_2,Rodrigo,bp_cm,1,1.0,0.20654931437723742,False
3264,all_models,ALL_MODELS,inconvenían,Cambios,Sustitución,1,1,1,1,inconvenían,AGI_INDIFERENTE_2065_N45_09,Rodrigo,agi_indiferente,1,1.0,0.20654931437723742,False
3265,model,GPT OSS 120B · 8 000 TPM,inconvenían,Cambios,Sustitución,1,1,1,1,inconvenían,AGI_INDIFERENTE_2065_N45_09,Rodrigo,agi_indiferente,1,1.0,0.20654931437723742,False
3266,all_models,ALL_MODELS,indios,Cambios,Inserción,1,1,1,1,indios,BnF_118_03,Paloma,bnf_118,1,1.0,0.20654931437723742,False
3267,model,Llama 3.3 70B · 12 000 TPM,indios,Cambios,Inserción,1,1,1,1,indios,BnF_118_03,Paloma,bnf_118,1,1.0,0.20654931437723742,False
3268,all_models,ALL_MODELS,indios. de,Puntuación,No sub-rule assigned,1,1,1,1,indios. De,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_05,Rodrigo,agn_hospjesus,1,1.0,0.20654931437723742,False
3269,model,Llama 3.3 70B · 12 000 TPM,indios. de,Puntuación,No sub-rule assigned,1,1,1,1,indios. De,AGN_HospJesus_c474_leg267-2_exp024_7473-7537_05,Rodrigo,agn_hospjesus,1,1.0,0.20654931437723742,False
3270,all_models,ALL_MODELS,indios. poco,Puntuación,"Coma (,)",1,1,1,1,indios. Poco,AGI_INDIFERENTE_1529_N8_06,Rodrigo,agi_indiferente,1,1.0,0.20654931437723742,False
3271,model,Llama 3.3 70B · 12 000 TPM,indios. poco,Puntuación,"Coma (,)",1,1,1,1,indios. Poco,AGI_INDIFERENTE_1529_N8_06,Rodrigo,agi_indiferente,1,1.0,0.20654931437723742,False
3272,all_models,ALL_MODELS,informado,Cambios,Inserción,1,1,1,1,informado,AGN_Indios_v009_exp002_fs3v-4_01,Arturo,agn_indios,1,1.0,0.20654931437723742,False
3273,model,Llama 3.3 70B · 12 000 TPM,informado,Cambios,Inserción,1,1,1,1,informado,AGN_Indios_v009_exp002_fs3v-4_01,Arturo,agn_indios,1,1.0,0.20654931437723742,False
3274,all_models,ALL_MODELS,informados de,Cambios,Inserción,1,1,1,1,informados de,utblac_wbs_1433_duplicated_1,Rodrigo,utblac_wbs,1,1.0,0.20654931437723742,False
3275,model,Llama 3.3 70B · 12 000 TPM,informados de,Cambios,Inserción,1,1,1,1,informados de,utblac_wbs_1433_duplicated_1,Rodrigo,utblac_wbs,1,1.0,0.20654931437723742,False
3276,all_models,ALL_MODELS,inquirir,Cambios,Deleción,1,1,1,1,inquirir,BnF_112_08,Paloma,bnf_112,1,1.0,0.20654931437723742,False
3277,model,Llama 3.3 70B · 12 000 TPM,inquirir,Cambios,Deleción,1,1,1,1,inquirir,BnF_112_08,Paloma,bnf_112,1,1.0,0.20654931437723742,False
3278,all_models,ALL_MODELS,inquirir,Cambios,Sustitución,1,1,1,1,inquirir,BnF_112_08,Paloma,bnf_112,1,1.0,0.20654931437723742,False
3279,model,Llama 3.3 70B · 12 000 TPM,inquirir,Cambios,Sustitución,1,1,1,1,inquirir,BnF_112_08,Paloma,bnf_112,1,1.0,0.20654931437723742,False
3280,all_models,ALL_MODELS,inquisición. y,Puntuación,"Coma (,)",1,1,1,1,inquisición. y,BNE_ms3047_1,Rodrigo,bne_ms3047,1,1.0,0.20654931437723742,False
3281,model,GPT OSS 120B · 8 000 TPM,inquisición. y,Puntuación,"Coma (,)",1,1,1,1,inquisición. y,BNE_ms3047_1,Rodrigo,bne_ms3047,1,1.0,0.20654931437723742,False
3282,all_models,ALL_MODELS,"insta, e",Puntuación,"Coma (,)",1,1,1,1,"insta, e",BnF_174_03,Arturo,bnf_174,1,1.0,0.20654931437723742,False
3283,model,Llama 3.3 70B · 12 000 TPM,"insta, e",Puntuación,"Coma (,)",1,1,1,1,"insta, e",BnF_174_03,Arturo,bnf_174,1,1.0,0.20654931437723742,False
3284,all_models,ALL_MODELS,instrucción,Cambios,Deleción,1,1,1,1,instrucción,AGN_RealesCedDup_v016_exp515,Alba,agn_realesceddup,1,1.0,0.20654931437723742,False
3285,model,Llama 3.3 70B · 12 000 TPM,instrucción,Cambios,Deleción,1,1,1,1,instrucción,AGN_RealesCedDup_v016_exp515,Alba,agn_realesceddup,1,1.0,0.20654931437723742,False
3286,all_models,ALL_MODELS,intención,Cambios,Sustitución,1,1,1,1,intención,BnF_075_026,Arturo,bnf_075,1,1.0,0.20654931437723742,False
3287,model,Llama 3.3 70B · 12 000 TPM,intención,Cambios,Sustitución,1,1,1,1,intención,BnF_075_026,Arturo,bnf_075,1,1.0,0.20654931437723742,False
3288,all_models,ALL_MODELS,interpelante,Cambios,Sustitución,1,1,1,1,interpelante,BnF_104_2,Paco,bnf_104,1,1.0,0.20654931437723742,False
3289,model,GPT OSS 120B · 8 000 TPM,interpelante,Cambios,Sustitución,1,1,1,1,interpelante,BnF_104_2,Paco,bnf_104,1,1.0,0.20654931437723742,False
3290,all_models,ALL_MODELS,intervino,Cambios,Inserción,1,1,1,1,intervino,BnF_283_03,Edna,bnf_283,1,1.0,0.20654931437723742,False
3291,model,Llama 3.3 70B · 12 000 TPM,intervino,Cambios,Inserción,1,1,1,1,intervino,BnF_283_03,Edna,bnf_283,1,1.0,0.20654931437723742,False
3292,all_models,ALL_MODELS,"intérprete, que",Cambios,Deleción,1,1,1,1,"intérprete, que",BnF_113_43,Paloma,bnf_113,1,1.0,0.20654931437723742,False
3293,model,Llama 3.3 70B · 12 000 TPM,"intérprete, que",Cambios,Deleción,1,1,1,1,"intérprete, que",BnF_113_43,Paloma,bnf_113,1,1.0,0.20654931437723742,False
3294,all_models,ALL_MODELS,iztacuimastitlan,Filológicas - instrucciones,No modificar otros idiomas,1,1,1,1,Iztacuimastitlan,BnF_075_035,Arturo,bnf_075,1,1.0,0.20654931437723742,False
3295,model,Llama 3.3 70B · 12 000 TPM,iztacuimastitlan,Filológicas - instrucciones,No modificar otros idiomas,1,1,1,1,Iztacuimastitlan,BnF_075_035,Arturo,bnf_075,1,1.0,0.20654931437723742,False
3296,all_models,ALL_MODELS,"iztaquihuitlan, mastitlan",Cambios,Sustitución,1,1,1,1,"Iztaquihuitlan, Mastitlan",BnF_075_003,Adriana,bnf_075,1,1.0,0.20654931437723742,False
